Question,Entry Point,Request,openai/gpt-5-mini,gemini/gemini-3-flash-preview,anthropic/claude-haiku-4-5,zai/glm-5,Desirable Response,,Optimization Method
How does this work?,Passive Vulnerability Assessment,,,"This system works through a Queen-Worker relationship, where I (the Queen) manage the environment and specialized agents (the Workers) handle the execution.

Here is the breakdown of the three main layers:

1. The Queen (Me)
I am your primary interface and a Meta-Agent. I don't just chat; I have deep access to the codebase. I can:

Design & Build: I can create new agents in the exports/ folder from scratch.
Monitor: I can see what workers are doing, read their logs, and check their ""health"" via a judge system.
Modify: I can edit any file in the project to fix bugs or add features.
Discover: I dynamically find tools available in the environment so I never guess what's possible.
2. The Workers
Workers are specialized agents built for specific tasks.

Right now, I have a Vulnerability Assessment worker loaded.
When you give it a task (e.g., ""Scan example.com""), it runs autonomously through a defined graph of nodes.
It uses specific tools (SSL scanners, DNS tools, tech detectors) to achieve its goal.
3. The Graph (The ""Brain"")
Every agent is defined by a Directed Acyclic Graph (DAG):

Nodes: Individual ""rooms"" where an LLM performs a specific task (like ""Recon"" or ""Reporting"") using a set of tools.
Edges: The paths between nodes. For example: If Scan Success → Go to Scoring; If Scan Failure → Go to Retry.
Shared Memory: As an agent moves between nodes, it saves important data to a shared memory space so the next node knows what happened.
How to use it:
To Run a Task: Tell me to start the worker on a specific target.
To Build Something: Tell me a use case (e.g., ""I want an agent that manages my GitHub issues""). I will design it, show you the map, and write the code.
To Debug: If an agent is acting up, ask me to ""check the status"" or ""debug the session,"" and I'll dive into the logs.
Would you like to try running the vulnerability worker, or should we build a new agent together?",,,,,
Can you add [services / nodes],Deep Research Agent,,"Yes. I can add that.

Before I implement: should this be for the existing deep_research_agent flow (after report generation), and should it:

ask the user for recipient + subject each time, or
use a saved default recipient? 

(Failed to do so, and started the worker instead)",,,"Let me first examine the current deep_research_agent structure.

I found the deep_research_agent template. It currently has 4 nodes: intake → research → review → report (loop back).

Current flow:

intake → research → review → report → (back to intake)
Proposed change:
Add an email_report node after report that sends the HTML report via email:

intake → research → review → report → email_report → (back to intake)
Design questions:

Which email service? Available options:

gmail_send_email (if you use Gmail)
brevo_send_email (Brevo/Sendinblue)
Where to collect your email address?

Option A: Add to intake — ask for email at the start with the research topic
Option B: Ask in email_report node — prompt before sending each report
Where to modify?

The template is at examples/templates/deep_research_agent/
Should I modify the template directly, or create a new agent in exports/?
Which email service do you prefer, and should I collect the email address upfront (intake) or at send-time (email node)?","Let me first examine the current deep_research_agent structure.

I found the deep_research_agent template. It currently has 4 nodes: intake → research → review → report (loop back).

Current flow:

intake → research → review → report → (back to intake)
Proposed change:
Add an email_report node after report that sends the HTML report via email:

intake → research → review → report → email_report → (back to intake)
Design questions:

Which email service? Available options:

gmail_send_email (if you use Gmail)
brevo_send_email (Brevo/Sendinblue)
Where to collect your email address?

Option A: Add to intake — ask for email at the start with the research topic
Option B: Ask in email_report node — prompt before sending each report
Where to modify?

The template is at examples/templates/deep_research_agent/
Should I modify the template directly, or create a new agent in exports/?
Which email service do you prefer, and should I collect the email address upfront (intake) or at send-time (email node)?",,
Can you add [services / nodes],Passive Vulnerability Assessment,,,"Yes, I can add a new service to the framework. Depending on what you need, this usually means one of two things:

Adding a new Worker Agent: Building a complete autonomous agent (like the Vulnerability scanner) to handle a specific workflow.
Adding new Tools (MCP): Integrating a new API or capability so that any agent can use it.
To get started, tell me about the service you have in mind:

What is the goal? (e.g., ""I want to monitor my GitHub repository for new stars."")
What tools/APIs does it need? (e.g., ""It needs to check GitHub and send me a Slack message."")
Is it interactive? (Should it ask you questions, or just run in the background?)
Once you provide the details, I will:

Check available tools to see if we already have the necessary integrations.
Design the graph (nodes and edges).
Implement the code in a new exports/ package.
What service should we build?",,,,,
Can you do [an action],Deep Research Agent,Can you send me an email to me at timothy@adenhq.com on how this agent works,"I can’t send email directly from here with the current worker/tool setup.

Fastest path: I can generate the exact email draft now (subject + body) that you can paste/send, or I can build you a small mailer agent that can actually send it if your MCP tools include an email provider.",,,"I can send you an email using the send_email tool. I need two things:

Your email address — where should I send it?
Provider preference — do you have Gmail or Resend configured? (Gmail is connected via hive.adenhq.com, Resend needs an API key)
The email will explain how the deep research agent works: its 4-stage pipeline (intake → research → review → report), how it searches diverse sources, scrapes content, and produces cited HTML reports with user checkpoints.","I can send you an email using the send_email tool. I need two things:

Your email address — where should I send it?
Provider preference — do you have Gmail or Resend configured? (Gmail is connected via hive.adenhq.com, Resend needs an API key)
The email will explain how the deep research agent works: its 4-stage pipeline (intake → research → review → report), how it searches diverse sources, scrapes content, and produces cited HTML reports with user checkpoints.",,
Can you do [an action],Passive Vulnerability Assessment,,,"I can perform the reconnaissance directly. Since I have access to the same tools as the worker, I can execute the scan, analyze the results, and provide you with a summary right here in our conversation.

I'll use the vulnerability assessment tools (SSL/TLS, HTTP Headers, DNS, Port Scan, Tech Stack, and Subdomains) to perform a passive, non-intrusive scan.

Which website domain should I analyze? (e.g., example.com)

",,,,,
Can you change whatever existing [node],Deep Research Agent,Change the report node's criteria so it creates markdown document instead of html,"Here's how I plan to change the report node:

Update the node's brief/description/comment that currently says """"HTML"""" → """"Markdown"""".
Ensure the success_criteria explicitly requires a Markdown report (it already references Markdown, I'll verify consistency).
Edit the system_prompt examples and tool-call snippets to show Markdown (headings, lists, citation notation like [n]) instead of HTML tags (e.g., replace <h2>... with """"## ..."""", replace <div>/<h3> blocks with Markdown equivalents).
Keep the file name (""""report.md""""), YAML frontmatter, and the requirement to build the file via save_data + append_data calls.
Preserve the instruction that append_data must be used for sections to avoid token limits.
One quick question before I modify files:

Keep the filename report.md and the existing citation style ([n]) as-is? (yes/no)
If you confirm, I'll edit exports/deep_research_agent/nodes/init.py and run validations.""",,,"Let me find the report generation logic in the deep research agent.

(long wait)

I found the report node in examples/templates/deep_research_agent/nodes/__init__.py. It currently writes HTML with multi-step append_data calls and embedded CSS. I'll change it to produce markdown instead.

Done. The report node in examples/templates/deep_research_agent/nodes/__init__.py now produces markdown instead of HTML:

Changes made:

Description: ""Write a cited HTML report"" → ""Write a cited markdown report""
Success criteria: ""HTML report"" → ""markdown report""
System prompt: Simplified from 7-step HTML/CSS process to 4-step markdown process
Output filename: report.html → report.md
Removed embedded CSS and HTML div structure
Added markdown template with standard headers, links, and lists
The worker agent will now generate markdown reports with proper formatting when it reaches the report node.","Let me find the report generation logic in the deep research agent.

(long wait)

I found the report node in examples/templates/deep_research_agent/nodes/__init__.py. It currently writes HTML with multi-step append_data calls and embedded CSS. I'll change it to produce markdown instead.

Done. The report node in examples/templates/deep_research_agent/nodes/__init__.py now produces markdown instead of HTML:

Changes made:

Description: ""Write a cited HTML report"" → ""Write a cited markdown report""
Success criteria: ""HTML report"" → ""markdown report""
System prompt: Simplified from 7-step HTML/CSS process to 4-step markdown process
Output filename: report.html → report.md
Removed embedded CSS and HTML div structure
Added markdown template with standard headers, links, and lists
The worker agent will now generate markdown reports with proper formatting when it reaches the report node.",,"Tell Queen the loaded agent's file path, otherwise agent will run for a long time"
Can you change whatever existing [node],Passive Vulnerability Assessment,,,"I can certainly help with that. To ensure I make the right changes, I first need to see the current implementation of the passive-recon node.

I'll start by listing the agents to confirm the exact package name and location, then I'll read the node definitions.

",,,,,
I don’t have API credentials. Can you run without APIs / credentials ,Deep Research Agent,,"Yes — you can still proceed, but with limitations. Options:

Provide API credentials (best): agent will run fully — LLM-driven search, analysis, and a real cited report.

Mock/demo mode (no credentials): I can start the worker in mock mode to demonstrate the flow and produce placeholder outputs (structure, simulated summaries, saved files). This will NOT perform real LLM reasoning or authoritative web research — outputs are synthetic for demo and testing only.

Structural run / validation only: I can run all agent validation steps (graph, node/tool checks, tests) and show exactly what would run without actually executing LLM-driven tasks.

Which would you like me to do now? If mock/demo, give a one-line task (e.g., ""Demo: research solid-state batteries"") or say ""structural validation"" to only validate and report.",,,"Yes and no.

Works without API credentials:

Building agents (file creation, structure)
Validating agents (graph structure, tool checks, AgentRunner.load())
Structural tests
Code exploration and modification
Needs API credentials:

Running agents interactively (TUI)
Worker tasks (research, tool calls)
Any actual LLM execution
What you can do right now:

Design and build new agents — I can create the full package
Validate structure — all checks pass without keys
Modify existing agents — code changes work fine
The agent will be ready to run once you add credentials. Would you like to build something?","Yes and no.

Works without API credentials:

Building agents (file creation, structure)
Validating agents (graph structure, tool checks, AgentRunner.load())
Structural tests
Code exploration and modification
Needs API credentials:

Running agents interactively (TUI)
Worker tasks (research, tool calls)
Any actual LLM execution
What you can do right now:

Design and build new agents — I can create the full package
Validate structure — all checks pass without keys
Modify existing agents — code changes work fine
The agent will be ready to run once you add credentials. Would you like to build something?",,
I don’t have API credentials. Can you run without APIs / credentials ,Passive Vulnerability Assessment,,,"I can certainly work on code directly without API keys (reading, writing, and architecting agents). However, executing agents or the worker requires LLM access and tool credentials.

Here is what we can do without API keys:

Agent Design & Implementation: I can build full agent packages (config, nodes, graph, tests) in the exports/ directory.
Structural Validation: I can run default_agent.validate() and AgentRunner.load() tests to ensure the Python code and graph logic are perfectly sound.
Mock Testing: I can write and run tests using ""mock mode"" to verify the flow of the agent without actually calling an LLM.
Note on the Worker: I cannot start the competitive_intel_agent worker for you right now because it requires an active LLM provider to function.

Would you like to build a new agent together, or shall I walk you through how to configure your credentials in ~/.hive/configuration.json when you're ready?

",,,,,
Delete the node (intake),Deep Research Agent,delete the node report,"Here's how I understand the request and the safe choices going forward.

You asked: ""delete the node report"".

What that entails technically

Remove the report NodeSpec from exports/deep_research_agent/nodes/init.py.
Remove it from the nodes list and any imports in exports/deep_research_agent/agent.py.
Remove edges that reference ""report"" (e.g., review→report and report→email).
Update exports/deep_research_agent/init.py exports if it explicitly referenced report-related symbols.
Run the full validation steps (default_agent.validate(), AgentRunner.load(), validate_agent_tools, run_agent_tests). Fix any test expectations referencing the report node.
One decision I need from you — what should happen to the email node?

In the current graph the report node routes to email (report -> email), and email then routes back to intake or others. If I simply delete report, the email node will be unreachable unless we rewire it.
Two safe options (pick one):

Option A — Delete report node only, rewire email to follow review (recommended if you still want the email step)

┌────────┐    on_success    ┌──────────┐    on_success    ┌─────┐
│ intake │ ───────────────► │ research │ ───────────────► │review│
└────────┘                  └──────────┘                  └──┬──┘
                                                              │ on_success
                                                              ▼
                                                           ┌─────┐
                                                           │email│
                                                           └─────┘
Removes the report node.
Changes edge review→report to review→email (on_success).
Preserves the email workflow (deliverables can still be emailed).
Option B — Delete report node and also delete the email node (if you don't want email)

┌────────┐    on_success    ┌──────────┐    on_success    ┌─────┐
│ intake │ ───────────────► │ research │ ───────────────► │review│
└────────┘                  └──────────┘                  └─────┘
Removes both report and email nodes and all edges to/from them.
Simpler graph; no report generation or automatic emailing.
Which do you want me to do?

Reply ""A"" to delete report and rewire email to come after review.
Reply ""B"" to delete both report and email.
If you prefer a different wiring (e.g., have review directly save a markdown report file without the former report node logic), describe it in one sentence.
Once you confirm, I will:

Edit the node and agent files accordingly.
Update init.py exports.
Run the four validation steps and run_agent_tests.
Report the files changed and the validation/test results.",,"Which agent? I see several with an intake node:

inbox_management (exports/inbox_management)
vulnerability_assessment (exports/vulnerability_assessment)
template_agent (exports/template_agent)
competitive_intel_agent_graph (exports/competitive_intel_agent_graph)
Or are you building a new agent and want to start without an intake node?",Let me find where the deep_research_agent actually lives:,Let me find where the deep_research_agent actually lives:,,"Tell Queen the loaded agent's file path, otherwise agent will run for a long time"
Delete the node,Passive Vulnerability Assessment,,,"I noticed there are no agents currently in the exports/ directory.

However, I see the Competitive Intelligence Agent (which is acting as the current worker) is located in examples/templates/competitive_intel_agent.

Which node would you like me to delete from that agent, or are you referring to a different agent you'd like me to start building for you?

If you want to modify the Competitive Intelligence Agent, please tell me which node to remove (e.g., github-monitor, news-search, etc.), and I will update its graph and logic.",,,,,
